Freq.	V(n017)
1.43395524801583e+05	(-1.09688147806278e+02dB,9.37982232136512e+01°)
1.44392919552250e+05	(-1.09929494457351e+02dB,9.37614485051533e+01°)
1.45397251732032e+05	(-1.10164715584933e+02dB,9.37254602223138e+01°)
1.46408569594563e+05	(-1.10394134819525e+02dB,9.36902090159561e+01°)
1.47426921729111e+05	(-1.10618051339891e+02dB,9.36556503404640e+01°)
1.48452357062906e+05	(-1.10836742274542e+02dB,9.36217438719734e+01°)
1.49484924863494e+05	(-1.11050464815454e+02dB,9.35884530091963e+01°)
1.50524674741107e+05	(-1.11259458084411e+02dB,9.35557444436136e+01°)
1.51571656651040e+05	(-1.11463944785953e+02dB,9.35235877878454e+01°)
1.52625920896057e+05	(-1.11664132675517e+02dB,9.34919552535942e+01°)
1.53687518128802e+05	(-1.11860215867059e+02dB,9.34608213710263e+01°)
1.54756499354240e+05	(-1.12052376000735e+02dB,9.34301627439164e+01°)
1.55832915932101e+05	(-1.12240783288259e+02dB,9.33999578354159e+01°)
1.56916819579351e+05	(-1.12425597450989e+02dB,9.33701867798177e+01°)
1.58008262372676e+05	(-1.12606968563690e+02dB,9.33408312166002e+01°)
1.59107296750985e+05	(-1.12785037815122e+02dB,9.33118741443020e+01°)
1.60213975517925e+05	(-1.12959938195119e+02dB,9.32832997908611e+01°)
1.61328351844426e+05	(-1.13131795116498e+02dB,9.32550934987347e+01°)
1.62450479271248e+05	(-1.13300726979103e+02dB,9.32272416225414e+01°)
1.63580411711557e+05	(-1.13466845682311e+02dB,9.31997314380990e+01°)
1.64718203453515e+05	(-1.13630257091554e+02dB,9.31725510609994e+01°)
1.65863909162889e+05	(-1.13791061463721e+02dB,9.31456893735861e+01°)
1.67017583885675e+05	(-1.13949353835718e+02dB,9.31191359598038e+01°)
1.68179283050744e+05	(-1.14105224379939e+02dB,9.30928810462156e+01°)
1.69349062472506e+05	(-1.14258758729990e+02dB,9.30669154493172e+01°)
1.70526978353592e+05	(-1.14410038279580e+02dB,9.30412305276722e+01°)
1.71713087287552e+05	(-1.14559140457220e+02dB,9.30158181388893e+01°)
1.72907446261574e+05	(-1.14706138979008e+02dB,9.29906706005193e+01°)
1.74110112659226e+05	(-1.14851104081597e+02dB,9.29657806547468e+01°)
1.75321144263208e+05	(-1.14994102737157e+02dB,9.29411414361521e+01°)
1.76540599258132e+05	(-1.15135198851986e+02dB,9.29167464425622e+01°)
1.77768536233315e+05	(-1.15274453450250e+02dB,9.28925895084280e+01°)
