Freq.	V(n016)
1.34723357686569e+05	(7.05327219977126e+01dB,3.80329690890072e+00°)
1.35660432744768e+05	(7.05480133863097e+01dB,3.75873698162267e+00°)
1.36604025675440e+05	(7.05622446312231e+01dB,3.71517962734084e+00°)
1.37554181813975e+05	(7.05755228970569e+01dB,3.67254224375503e+00°)
1.38510946811093e+05	(7.05879413248096e+01dB,3.63075228956576e+00°)
1.39474366635041e+05	(7.05995812545200e+01dB,3.58974577791977e+00°)
1.40444487573800e+05	(7.06105140381157e+01dB,3.54946603218481e+00°)
1.41421356237310e+05	(7.06208025279830e+01dB,3.50986265231613e+00°)
1.42405019559708e+05	(7.06305023069913e+01dB,3.47089065157954e+00°)
1.43395524801583e+05	(7.06396627108768e+01dB,3.43250973169956e+00°)
1.44392919552250e+05	(7.06483276827823e+01dB,3.39468367141885e+00°)
1.45397251732032e+05	(7.06565364912299e+01dB,3.35737980818624e+00°)
1.46408569594563e+05	(7.06643243363401e+01dB,3.32056859695395e+00°)
1.47426921729111e+05	(7.06717228640752e+01dB,3.28422323300443e+00°)
1.48452357062906e+05	(7.06787606043919e+01dB,3.24831932827469e+00°)
1.49484924863494e+05	(7.06854633461146e+01dB,3.21283463249065e+00°)
1.50524674741107e+05	(7.06918544589497e+01dB,3.17774879207108e+00°)
1.51571656651040e+05	(7.06979551711346e+01dB,3.14304314101260e+00°)
1.52625920896057e+05	(7.07037848096965e+01dB,3.10870051886665e+00°)
1.53687518128802e+05	(7.07093610090541e+01dB,3.07470511177228e+00°)
1.54756499354240e+05	(7.07146998927417e+01dB,3.04104231331446e+00°)
1.55832915932101e+05	(7.07198162322041e+01dB,3.00769860232299e+00°)
1.56916819579351e+05	(7.07247235859613e+01dB,2.97466143521853e+00°)
1.58008262372676e+05	(7.07294344219290e+01dB,2.94191915100228e+00°)
1.59107296750985e+05	(7.07339602252182e+01dB,2.90946088713810e+00°)
1.60213975517925e+05	(7.07383115933917e+01dB,2.87727650491984e+00°)
1.61328351844426e+05	(7.07424983208449e+01dB,2.84535652310929e+00°)
1.62450479271248e+05	(7.07465294737320e+01dB,2.81369205875285e+00°)
1.63580411711557e+05	(7.07504134566547e+01dB,2.78227477434326e+00°)
1.64718203453515e+05	(7.07541580721434e+01dB,2.75109683046096e+00°)
1.65863909162889e+05	(7.07577705738396e+01dB,2.72015084340903e+00°)
1.67017583885675e+05	(7.07612577141230e+01dB,2.68942984701576e+00°)
1.68179283050744e+05	(7.07646257868628e+01dB,2.65892725829605e+00°)
1.69349062472506e+05	(7.07678806658687e+01dB,2.62863684650589e+00°)
1.70526978353592e+05	(7.07710278395228e+01dB,2.59855270511376e+00°)
1.71713087287552e+05	(7.07740724420446e+01dB,2.56866922648542e+00°)
1.72907446261574e+05	(7.07770192817512e+01dB,2.53898107889144e+00°)
1.74110112659226e+05	(7.07798728666574e+01dB,2.50948318566843e+00°)
1.75321144263208e+05	(7.07826374276901e+01dB,2.48017070622625e+00°)
1.76540599258132e+05	(7.07853169397839e+01dB,2.45103901877816e+00°)
1.77768536233315e+05	(7.07879151410716e+01dB,2.42208370456552e+00°)
1.79005014185596e+05	(7.07904355503734e+01dB,2.39330053346286e+00°)
1.80250092522167e+05	(7.07928814831575e+01dB,2.36468545081640e+00°)
1.81503831063433e+05	(7.07952560661173e+01dB,2.33623456534888e+00°)
1.82766290045881e+05	(7.07975622505188e+01dB,2.30794413811887e+00°)
1.84037530124976e+05	(7.07998028244238e+01dB,2.27981057235211e+00°)
1.85317612378075e+05	(7.08019804239028e+01dB,2.25183040409125e+00°)
1.86606598307363e+05	(7.08040975433382e+01dB,2.22400029361012e+00°)
1.87904549842804e+05	(7.08061565448919e+01dB,2.19631701747080e+00°)
1.89211529345120e+05	(7.08081596672278e+01dB,2.16877746121559e+00°)
1.90527599608789e+05	(7.08101090335476e+01dB,2.14137861261118e+00°)
1.91852823865054e+05	(7.08120066590068e+01dB,2.11411755540159e+00°)
1.93187265784970e+05	(7.08138544575654e+01dB,2.08699146353128e+00°)
1.94530989482458e+05	(7.08156542483202e+01dB,2.05999759578056e+00°)
1.95884059517387e+05	(7.08174077613658e+01dB,2.03313329078064e+00°)
1.97246540898673e+05	(7.08191166432297e+01dB,2.00639596243149e+00°)
1.98618499087409e+05	(7.08207824619054e+01dB,1.97978309558063e+00°)
2.00000000000001e+05	(7.08224067115311e+01dB,1.95329224205217e+00°)
2.01391110011345e+05	(7.08239908167309e+01dB,1.92692101691542e+00°)
2.02791895958007e+05	(7.08255361366585e+01dB,1.90066709503898e+00°)
2.04202425141440e+05	(7.08270439687547e+01dB,1.87452820784503e+00°)
2.05622765331215e+05	(7.08285155522505e+01dB,1.84850214029737e+00°)
2.07052984768277e+05	(7.08299520714355e+01dB,1.82258672808886e+00°)
2.08493152168226e+05	(7.08313546587019e+01dB,1.79677985499073e+00°)
2.09943336724615e+05	(7.08327243973926e+01dB,1.77107945039669e+00°)
2.11403608112278e+05	(7.08340623244606e+01dB,1.74548348700846e+00°)
2.12874036490674e+05	(7.08353694329557e+01dB,1.71998997866264e+00°)
2.14354692507260e+05	(7.08366466743541e+01dB,1.69459697830214e+00°)
2.15845647300887e+05	(7.08378949607372e+01dB,1.66930257605963e+00°)
2.17346972505213e+05	(7.08391151668382e+01dB,1.64410489747115e+00°)
2.18858740252150e+05	(7.08403081319575e+01dB,1.61900210177979e+00°)
2.20381023175324e+05	(7.08414746617633e+01dB,1.59399238034780e+00°)
2.21913894413571e+05	(7.08426155299820e+01dB,1.56907395516333e+00°)
2.23457427614446e+05	(7.08437314799861e+01dB,1.54424507742256e+00°)
