Freq.	V(n016)
1.31039340385837e+05	(-1.12969847401908e+02dB,-8.70615358296449e+01°)
1.31950791077290e+05	(-1.12903783343559e+02dB,-8.70942711428987e+01°)
1.32868581409652e+05	(-1.12837645608450e+02dB,-8.71268833551200e+01°)
1.33792755478612e+05	(-1.12771432912696e+02dB,-8.71593742030305e+01°)
1.34723357686569e+05	(-1.12705143953517e+02dB,-8.71917454252265e+01°)
1.35660432744768e+05	(-1.12638777408850e+02dB,-8.72239987623987e+01°)
1.36604025675440e+05	(-1.12572331936950e+02dB,-8.72561359575096e+01°)
1.37554181813975e+05	(-1.12505806175990e+02dB,-8.72881587560498e+01°)
1.38510946811093e+05	(-1.12439198743652e+02dB,-8.73200689062485e+01°)
1.39474366635041e+05	(-1.12372508236696e+02dB,-8.73518681592709e+01°)
1.40444487573800e+05	(-1.12305733230540e+02dB,-8.73835582694944e+01°)
1.41421356237310e+05	(-1.12238872278816e+02dB,-8.74151409947456e+01°)
1.42405019559708e+05	(-1.12171923912920e+02dB,-8.74466180965051e+01°)
1.43395524801583e+05	(-1.12104886641553e+02dB,-8.74779913402025e+01°)
1.44392919552250e+05	(-1.12037758950257e+02dB,-8.75092624954906e+01°)
1.45397251732032e+05	(-1.11970539300929e+02dB,-8.75404333364601e+01°)
1.46408569594563e+05	(-1.11903226131333e+02dB,-8.75715056419434e+01°)
1.47426921729111e+05	(-1.11835817854598e+02dB,-8.76024811958223e+01°)
1.48452357062906e+05	(-1.11768312858711e+02dB,-8.76333617872886e+01°)
1.49484924863494e+05	(-1.11700709505982e+02dB,-8.76641492111306e+01°)
1.50524674741107e+05	(-1.11633006132515e+02dB,-8.76948452680716e+01°)
1.51571656651040e+05	(-1.11565201047657e+02dB,-8.77254517650647e+01°)
1.52625920896057e+05	(-1.11497292533440e+02dB,-8.77559705156479e+01°)
1.53687518128802e+05	(-1.11429278843999e+02dB,-8.77864033402267e+01°)
1.54756499354240e+05	(-1.11361158204991e+02dB,-8.78167520664555e+01°)
1.55832915932101e+05	(-1.11292928812987e+02dB,-8.78470185295765e+01°)
1.56916819579351e+05	(-1.11224588834861e+02dB,-8.78772045727921e+01°)
1.58008262372676e+05	(-1.11156136407155e+02dB,-8.79073120476175e+01°)
1.59107296750985e+05	(-1.11087569635436e+02dB,-8.79373428142925e+01°)
1.60213975517925e+05	(-1.11018886593628e+02dB,-8.79672987421283e+01°)
1.61328351844426e+05	(-1.10950085323342e+02dB,-8.79971817099891e+01°)
1.62450479271248e+05	(-1.10881163833174e+02dB,-8.80269936066259e+01°)
1.63580411711557e+05	(-1.10812120097998e+02dB,-8.80567363311643e+01°)
1.64718203453515e+05	(-1.10742952058235e+02dB,-8.80864117935282e+01°)
1.65863909162889e+05	(-1.10673657619105e+02dB,-8.81160219148807e+01°)
1.67017583885675e+05	(-1.10604234649859e+02dB,-8.81455686281328e+01°)
1.68179283050744e+05	(-1.10534680982997e+02dB,-8.81750538783739e+01°)
1.69349062472506e+05	(-1.10464994413459e+02dB,-8.82044796234094e+01°)
1.70526978353592e+05	(-1.10395172697800e+02dB,-8.82338478342623e+01°)
1.71713087287552e+05	(-1.10325213553341e+02dB,-8.82631604956880e+01°)
1.72907446261574e+05	(-1.10255114657303e+02dB,-8.82924196067362e+01°)
1.74110112659226e+05	(-1.10184873645908e+02dB,-8.83216271813014e+01°)
1.75321144263208e+05	(-1.10114488113472e+02dB,-8.83507852487006e+01°)
1.76540599258132e+05	(-1.10043955611461e+02dB,-8.83798958542904e+01°)
1.77768536233315e+05	(-1.09973273647523e+02dB,-8.84089610600341e+01°)
1.79005014185596e+05	(-1.09902439684505e+02dB,-8.84379829451964e+01°)
1.80250092522167e+05	(-1.09831451139431e+02dB,-8.84669636069486e+01°)
1.81503831063433e+05	(-1.09760305382461e+02dB,-8.84959051610675e+01°)
1.82766290045881e+05	(-1.09688999735812e+02dB,-8.85248097426188e+01°)
1.84037530124976e+05	(-1.09617531472667e+02dB,-8.85536795067028e+01°)
1.85317612378075e+05	(-1.09545897816032e+02dB,-8.85825166291565e+01°)
1.86606598307363e+05	(-1.09474095937578e+02dB,-8.86113233073589e+01°)
1.87904549842804e+05	(-1.09402122956446e+02dB,-8.86401017610102e+01°)
1.89211529345120e+05	(-1.09329975938012e+02dB,-8.86688542329221e+01°)
1.90527599608789e+05	(-1.09257651892628e+02dB,-8.86975829899139e+01°)
