Name,Sweep (T1),,,
Date,12/06/2023,,,
Time,13:07:49,,,
Instrument,FPC1500 - 102527/003,,,
Firmware Version,V1.80,,,
Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
42681049.0693739,-87.1417999267578,,,
42681895.0930626,-87.4940795898438,,,
42682741.1167513,-87.0807342529297,,,
42683587.1404399,-86.7705535888672,,,
42684433.1641286,-86.2523956298828,,,
42685279.1878173,-87.5883560180664,,,
42686125.2115059,-87.6709365844727,,,
42686971.2351946,-85.7910385131836,,,
42687817.2588832,-85.6166458129883,,,
42688663.2825719,-87.2854080200195,,,
42689509.3062606,-87.1667022705078,,,
42690355.3299492,-86.9674530029297,,,
42691201.3536379,-86.3093032836914,,,
42692047.3773266,-86.4209365844727,,,
42692893.4010152,-85.8652877807617,,,
42693739.4247039,-87.1909332275391,,,
42694585.4483926,-86.6010055541992,,,
42695431.4720812,-86.4561462402344,,,
42696277.4957699,-87.9743423461914,,,
42697123.5194585,-87.6645355224609,,,
42697969.5431472,-85.7568817138672,,,
42698815.5668359,-85.9642868041992,,,
42699661.5905245,-86.2218933105469,,,
42700507.6142132,-85.9187393188477,,,
42701353.6379019,-85.9658660888672,,,
42702199.6615905,-85.2751617431641,,,
42703045.6852792,-86.3954086303711,,,
42703891.7089679,-87.5230255126953,,,
42704737.7326565,-87.1748580932617,,,
42705583.7563452,-85.9327392578125,,,
42706429.7800338,-86.3642120361328,,,
42707275.8037225,-86.2299346923828,,,
42708121.8274112,-85.4686889648438,,,
42708967.8510998,-85.2899475097656,,,
42709813.8747885,-87.0113067626953,,,
42710659.8984772,-88.5743637084961,,,
42711505.9221658,-87.2559814453125,,,
42712351.9458545,-87.0287704467773,,,
42713197.9695431,-87.7032241821289,,,
42714043.9932318,-85.6565399169922,,,
42714890.0169205,-85.8291778564453,,,
42715736.0406091,-86.8173751831055,,,
42716582.0642978,-86.4359588623047,,,
42717428.0879865,-84.8129196166992,,,
42718274.1116751,-85.7617034912109,,,
42719120.1353638,-86.5775604248047,,,
42719966.1590525,-85.9062652587891,,,
42720812.1827411,-84.8947906494141,,,
42721658.2064298,-85.5538940429688,,,
42722504.2301184,-85.8823165893555,,,
42723350.2538071,-86.2446746826172,,,
42724196.2774958,-86.4742813110352,,,
42725042.3011844,-87.1631164550781,,,
42725888.3248731,-87.405891418457,,,
42726734.3485618,-86.1764907836914,,,
42727580.3722504,-86.9163970947266,,,
42728426.3959391,-86.6973724365234,,,
42729272.4196277,-87.8115844726563,,,
42730118.4433164,-85.6231842041016,,,
42730964.4670051,-84.9839630126953,,,
42731810.4906937,-85.6092910766602,,,
42732656.5143824,-86.6735534667969,,,
42733502.5380711,-86.9168930053711,,,
42734348.5617597,-86.9601898193359,,,
42735194.5854484,-86.5565643310547,,,
42736040.6091371,-85.8635635375977,,,
42736886.6328257,-86.0257720947266,,,
42737732.6565144,-88.1059722900391,,,
42738578.680203,-88.1937408447266,,,
42739424.7038917,-86.6511764526367,,,
42740270.7275804,-86.3628387451172,,,
42741116.751269,-87.5052947998047,,,
42741962.7749577,-86.2313003540039,,,
42742808.7986464,-85.857177734375,,,
42743654.822335,-86.3596954345703,,,
42744500.8460237,-87.1235580444336,,,
42745346.8697124,-87.7324142456055,,,
42746192.893401,-85.7436599731445,,,
42747038.9170897,-84.8472595214844,,,
42747884.9407783,-86.7621688842773,,,
42748730.964467,-86.3225021362305,,,
42749576.9881557,-85.7931060791016,,,
42750423.0118443,-86.4572143554688,,,
42751269.035533,-87.6459350585938,,,
42752115.0592217,-87.591682434082,,,
42752961.0829103,-87.2121734619141,,,
42753807.106599,-87.9966659545898,,,
42754653.1302876,-86.1828460693359,,,
42755499.1539763,-86.4619064331055,,,
42756345.177665,-86.8368377685547,,,
42757191.2013536,-85.6734085083008,,,
42758037.2250423,-85.4587631225586,,,
42758883.248731,-86.7497177124023,,,
42759729.2724196,-86.9305267333984,,,
42760575.2961083,-86.7141571044922,,,
42761421.319797,-87.0303726196289,,,
42762267.3434856,-87.009162902832,,,
42763113.3671743,-87.363166809082,,,
42763959.3908629,-87.9742660522461,,,
42764805.4145516,-87.675910949707,,,
42765651.4382403,-87.4949264526367,,,
42766497.4619289,-87.5672454833984,,,
42767343.4856176,-85.5043792724609,,,
42768189.5093063,-85.7592391967773,,,
42769035.5329949,-86.7183227539063,,,
42769881.5566836,-86.1957473754883,,,
42770727.5803723,-86.4745330810547,,,
42771573.6040609,-86.5947723388672,,,
42772419.6277496,-86.3616485595703,,,
42773265.6514382,-86.6515808105469,,,
42774111.6751269,-88.0131988525391,,,
42774957.6988156,-88.6597137451172,,,
42775803.7225042,-87.5370330810547,,,
42776649.7461929,-88.4804840087891,,,
42777495.7698816,-86.56884765625,,,
42778341.7935702,-84.7427825927734,,,
42779187.8172589,-85.2286148071289,,,
42780033.8409475,-86.0544357299805,,,
42780879.8646362,-86.71142578125,,,
42781725.8883249,-87.3248596191406,,,
42782571.9120135,-87.2598114013672,,,
42783417.9357022,-84.8892974853516,,,
42784263.9593909,-86.1021575927734,,,
42785109.9830795,-86.4482192993164,,,
42785956.0067682,-86.1020584106445,,,
42786802.0304569,-86.0975799560547,,,
42787648.0541455,-87.2914047241211,,,
42788494.0778342,-87.8400039672852,,,
42789340.1015228,-89.1178665161133,,,
42790186.1252115,-87.727165222168,,,
42791032.1489002,-86.6975860595703,,,
42791878.1725888,-86.5259857177734,,,
42792724.1962775,-85.5609359741211,,,
42793570.2199662,-84.8215560913086,,,
42794416.2436548,-87.2225952148438,,,
42795262.2673435,-87.5302658081055,,,
42796108.2910322,-86.2309417724609,,,
42796954.3147208,-86.9371871948242,,,
42797800.3384095,-87.1767349243164,,,
42798646.3620981,-87.0804824829102,,,
42799492.3857868,-87.0849761962891,,,
42800338.4094755,-86.7548522949219,,,
42801184.4331641,-87.4177093505859,,,
42802030.4568528,-88.0032730102539,,,
42802876.4805415,-88.2912063598633,,,
