Freq.	V(n016)
1.41421356237310e+05	(7.13088483133350e+01dB,2.98754691279385e+00°)
1.42405019559708e+05	(7.13132314966433e+01dB,2.95484003254815e+00°)
1.43395524801583e+05	(7.13176699532361e+01dB,2.92225719724749e+00°)
1.44392919552250e+05	(7.13221647098720e+01dB,2.88979659881936e+00°)
1.45397251732032e+05	(7.13267168095908e+01dB,2.85745642613839e+00°)
1.46408569594563e+05	(7.13313273120854e+01dB,2.82523486475172e+00°)
1.47426921729111e+05	(7.13359972940828e+01dB,2.79313009661101e+00°)
1.48452357062906e+05	(7.13407278497315e+01dB,2.76114029977620e+00°)
1.49484924863494e+05	(7.13455200910032e+01dB,2.72926364813806e+00°)
1.50524674741107e+05	(7.13503751481020e+01dB,2.69749831113595e+00°)
1.51571656651040e+05	(7.13552941698825e+01dB,2.66584245342861e+00°)
1.52625920896057e+05	(7.13602783242756e+01dB,2.63429423456763e+00°)
1.53687518128802e+05	(7.13653287987352e+01dB,2.60285180871987e+00°)
1.54756499354240e+05	(7.13704468006866e+01dB,2.57151332431435e+00°)
1.55832915932101e+05	(7.13756335579855e+01dB,2.54027692367929e+00°)
1.56916819579351e+05	(7.13808903193966e+01dB,2.50914074271974e+00°)
1.58008262372676e+05	(7.13862183550782e+01dB,2.47810291055246e+00°)
1.59107296750985e+05	(7.13916189570818e+01dB,2.44716154913206e+00°)
1.60213975517925e+05	(7.13970934398630e+01dB,2.41631477287562e+00°)
1.61328351844426e+05	(7.14026431408057e+01dB,2.38556068825215e+00°)
1.62450479271248e+05	(7.14082694207620e+01dB,2.35489739340150e+00°)
1.63580411711557e+05	(7.14139736646038e+01dB,2.32432297769359e+00°)
1.64718203453515e+05	(7.14197572817958e+01dB,2.29383552136174e+00°)
1.65863909162889e+05	(7.14256217069678e+01dB,2.26343309496974e+00°)
1.67017583885675e+05	(7.14315684005212e+01dB,2.23311375902481e+00°)
1.68179283050744e+05	(7.14375988492437e+01dB,2.20287556351753e+00°)
1.69349062472506e+05	(7.14437145669334e+01dB,2.17271654738441e+00°)
1.70526978353592e+05	(7.14499170950548e+01dB,2.14263473807163e+00°)
1.71713087287552e+05	(7.14562080033992e+01dB,2.11262815098696e+00°)
1.72907446261574e+05	(7.14625888907745e+01dB,2.08269478900700e+00°)
1.74110112659226e+05	(7.14690613857031e+01dB,2.05283264189754e+00°)
1.75321144263208e+05	(7.14756271471499e+01dB,2.02303968578940e+00°)
1.76540599258132e+05	(7.14822878652624e+01dB,1.99331388258084e+00°)
1.77768536233315e+05	(7.14890452621386e+01dB,1.96365317935817e+00°)
